text,department
Please look into this issue: the assignment grade was entered under the wrong student record after the latest update can u check this please?,Academic
"I have already tried to get this sorted, but several classroom chairs have broken writing arms during the last two classes can u check this please?",Maintenance & Facilities
"I have already tried to get this sorted, but the department server is unreachable from campus computers since last week. Please check the system and resolve the technical issue.",IT Services
"For the past few days, the certificate I collected contains a spelling error in the program title please help, its still not fixed.",Administrative Offices
Could you please check this? the biometric attendance device is not recognizing fingerprints since last week this is causing alot of trouble.,IT Services
My complaint is that the biometric attendance device isnt recognizing fingerprints since the start of this semester and the problem happens repeatedly. Please troubleshoot this because the usual fixes have not worked.,IT Services
Please look into this issue: my university account password reset link is not working during the last two classes can u check this please?,IT Services
"I have already tried to get this sorted, but I received conflicting instructions from the registrar and accounts office so I need the administrative record corrected. Please check the payment or document status and correct it.",Administrative Offices
"The elevator in the main block is out of service again since last week. I am not sure who else to contact, so I am submitting this complaint. Please arrange proper repair rather than another temporary fix.",Maintenance & Facilities
Could you please check this? the timetable shows a room and time that do not match the department notice after the latest update. Kindly check this issue and update the academic record.,Academic
"Could you please check this? the fee challan generated by the portal has the wrong amount since the start of this semester. The issue is not urgent in an emergency sense, but it needs proper attention. Please verify the record and update it.",Administrative Offices
"For the past few days, the LMS is not showing one of my registered courses since the start of this semester but the issue still continues. Please check the system and resolve the technical issue.",IT Services
I have been facing a problem where my university account password reset link is not working. Kindly have IT support investigate this.,IT Services
"This is getting difficult because the elevator in the main block is out of service again. I have tried the normal procedure once already, but nothing changed. Please arrange proper repair rather than another temporary fix.",Maintenance & Facilities
"I am having a problem because the campus WiFi connects but there is no internet access since last week. I am not sure who else to contact, so I am submitting this complaint. Please restore access as soon as possible.",IT Services
This is getting difficult because the financial aid amount shown is different from the approved amount during the last two classes. i request that this matter be processed without further delay.,Administrative Offices
I want to report that the certificate I collected contains a spelling error in the program title and this is blocking another university process. Please resolve the discrepancy in the official record.,Administrative Offices
My complaint is that a drainage channel near the department building is overflowing and the problem has continued for several days. Please have the facilities staff check this issue.,Maintenance & Facilities
My complaint is that the fee challan cannot be generated for the current semester and the deadline is approaching; Can the administrative office review this and provide the correct status?,Administrative Offices
I want to report that the timetable shows a room and time that do not match the department notice since last week. I checked the relevant notice and the information still does not match. Please review the matter before the next academic deadline.,Academic
"I have already tried to get this sorted, but the drinking water cooler is not working since the start of this semester kindly sort this out.",Maintenance & Facilities
My complaint is that I am locked out of my university account even after resetting the password even after I reported it earlier which is causing delays in my coursework; Please check the system and resolve the technical issue.,IT Services
Could you please check this? network access in the engineering block drops repeatedly since yesterday and it is affecting access to university systems. I would appreciate a proper technical fix for this issue.,IT Services
"For the past few days, I am locked out of my university account even after resetting the password during the last two classes. The issue is not urgent in an emergency sense, but it needs proper attention. Kindly have IT support investigate this.",IT Services
Please look into this issue: I am locked out of my university account even after resetting the password since last week. I checked the relevant notice and the information still does not match. Please restore access as soon as possible.,IT Services
My complaint is that I received conflicting instructions from the registrar and accounts office for three days now i already reported it but no response yet.,Administrative Offices
"I have been facing a problem where one of the lab computers keeps restarting by itself since last week. The issue is not urgent in an emergency sense, but it needs proper attention. Can the IT team check the account or service configuration?",IT Services
I want to report that the licensed software on the lab PC says the activation has expired for three days now and the problem happens repeatedly; Please troubleshoot this because the usual fixes have not worked.,IT Services
Could you please check this? a drainage channel near the department building is overflowing since yesterday which could become a safety issue. This needs to be fixed before it becomes a bigger problem.,Maintenance & Facilities
"I need help because the hostel gate was locked earlier than the official curfew time for three days now. The issue is not urgent in an emergency sense, but it needs proper attention. I request the provost office to investigate and take action.",Hostel/Provost Office
Please look into this issue: i have not received feedback from my thesis supervisor for several weeks can u check this please?,Academic
My complaint is that the transcript shows the wrong credit hours for one subject and I am worried it may affect my GPA. Please verify the record and correct it.,Academic
I noticed that a refund approved earlier has still not been transferred and I have visited the office more than once. I request that this matter be processed without further delay.,Administrative Offices
I have been facing a problem where the network printer accepts jobs but doesnt print anything which is interrupting classes and assignments. Please restore access as soon as possible.,IT Services
"I have already tried to get this sorted, but the classroom AC is running but not cooling the room since yesterday. I am not sure who else to contact, so I am submitting this complaint. Kindly arrange a repair as soon as possible.",Maintenance & Facilities
Clothes left in the hostel laundry area are being mixed up since yesterday so I need the provost office to check the matter; Please check the hostel record and fix the problem.,Hostel/Provost Office
"Hi, the study room is being locked during the hours it should be open and the issue has been reported before; Please check the hostel record and fix the problem.",Hostel/Provost Office
I noticed that the transcript shows the wrong credit hours for one subject and this is affecting my semester planning. Please look into this because I have not been able to resolve it myself.,Academic
"Hi, the hostel entrance security check is not being done consistently since last week and several residents are affected; Can this be addressed by the hostel management soon?",Hostel/Provost Office
There is an issue with my university record: the classroom AC is running but not cooling the room which could become a safety issue. Please arrange proper repair rather than another temporary fix.,Maintenance & Facilities
"I want to report that the study room is being locked during the hours it should be open during the last two classes. The issue is not urgent in an emergency sense, but it needs proper attention. Please arrange a proper solution for the affected residents.",Hostel/Provost Office
"My complaint is that the accounts office asked for the same payment proof multiple times for three days now. I have tried the normal procedure once already, but nothing changed. Please verify the record and update it.",Administrative Offices
My complaint is that my transcript is missing one completed course so I need the academic record checked. Kindly check this issue and update the academic record.,Academic
There is an issue with my univeristy record: the fee challan cannot be generated for the current semester after the latest update. I checked the relevant notice and the information still does not match. Kindly ask the relevant office to resolve this issue.,Administrative Offices
i need help because the room window does not close properly and insects enter at night since the start of this semester which is affecting sleep and study. I request the provost office to investigate and take action.,Hostel/Provost Office
I noticed that the final result shows a different grade from the one announced by the instructor after the latest update so I cannot confirm whether my record is correct; I would appreciate it if the department could resolve this soon.,Academic
"My complaint is that the washroom drainage is blocked and water is collecting on the floor after the latest update. The issue is not urgent in an emergency sense, but it needs proper attention. Can maintenance please inspect the area and resolve it?",Maintenance & Facilities
I need help because the hostel entrance security check is not being done consistently since yesterday can u check this please?,Hostel/Provost Office
"This is getting difficult because the lights in our classroom keep flickering during lectures since last week. I have tried the normal procedure once already, but nothing changed. Can maintenance please inspect the area and resolve it?",Maintenance & Facilities
This is getting difficult because my submitted assignment is still showing as not submitted after the latest update. Please verify the record and correct it.,Academic
This is getting difficult because my makeup exam application was approved but no exam schedule has been shared after the latest update and this is affecting my semester planning; Please verify the record and correct it.,Academic
This is getting difficult because uploaded lecture files on the LMS are not opening. Please troubleshoot this because the usual fixes have not worked.,IT Services
