text,department
"the classroom chairs is overflowing during busy hours. It would be better to repair it before the damage increases. Because the issue is still unresolved, it is now affecting my normal university work. I request urgent maintenance of this issue.",Maintenance & Facilities
"Please help, i would like to complain that the registered credit hours does not include marks for work that I submitted. Please check the matter before it affects my semester further.",Academic
"I am having trouble because the backup generator keeps stopping and starting. This is especially difficult when the room is full. I have been trying to get this sorted out, but there hasnt been a clear resolution yet. The concerned staff are requested to repair this promptly.",Maintenance & Facilities
"This is getting difficult, the exam date sheet is still missing from the stuent record. I have checked the portal more than once and the same problem remains. Because the issue is still unresolved, it is now affecting my normal university work. Please recheck the entry and let me know once it is fixed.",Academic
the air conditioner is blocked and water is collecting around it.,Maintenance & Facilities
Please check why my CGPA was changed without any explanation. Please update the record according to the submitted documents.,Academic
the hot water facility is still unresolved after several days. Please take action and update me about the complaint.,Hostel/Provost Office
Can someone check why the washroom taps is not available when it is needed. I have already checked this more than once. Please have this facility repaired or replaced.,Maintenance & Facilities
the admission status has not been processed even though the documents were submitted.,Administrative Offices
I need help becase the air conditioner hasnt been repaired after an earlier complaint. I have already checked this more than once. Kindly send the maintenance team to inspect and fix it.,Maintenance & Facilities
the washroom plumbing has broken fittings. Please inspect the area and take the necessary action.,Maintenance & Facilities
I need help because the university WiFi is not connected to the campus network. I reported this earlier to the IT desk but it is still unresolved. Please restore access as soon as possible.,IT Services
the hostel water supply is not available at the stated time. Please resolve this hostel-related problem soon.,Hostel/Provost Office
I am facing an issue because the migration certificate was submitted before the deadline but still shows pending. I have already checked this more than once. Kindly check the application and provide an update.,Administrative Offices
"Hi, could you please look into this: the semester timetable still shows the old information after correction. Please check the matter before it affects my semester further.",Academic
"the laundry area has become worse this week. Please check the hostel record for my earlier complaint. Because the issue is still unresolved, it is now affecting my normal university work. I request the Provost Office to look into this matter.",Hostel/Provost Office
the student portal is showing outdated information. Please investigate the error and update the service.,IT Services
the admission document was entered under the wrong category. The application was submitted within the announced dates. The concerned office is requested to check and complete this matter.,Administrative Offices
Can someone check why the electrical sockets is blocked and water is collecting around it. Please have this facility repaired or replaced.,Maintenance & Facilities
"Can someone check why the air conditioner is leaking and making the floor wet. The issue becomes worse during afternoon classes. I have been trying to get this sorted out, but there has not been a clear resolution yet. The concerned staff are requested to repair this promptly.",Maintenance & Facilities
the hostel washroom is making it difficult to stay in the room. Several residents on the floor are facing the same problem. I request the Provost Office to look into this matter.,Hostel/Provost Office
"Hi, my attendance record does not reflect the form I submitted on time. Please verify the record and correct it.",Academic
the migration certificate has not been issued yet. I have already visited the concerned office more than once. I request verification and completion of the pending process.,Administrative Offices
"Can someone check why the hostel WiFi complant record was reported to the warden but no action has been taken. I informed the hostel staff earlier, but the issue continues. Please resolve this hostel-related problem soon.",Hostel/Provost Office
the classroom chairs needs urgent cleaning and maintenance. Please send someone to inspect the location. The concerned staff are requested to repair this promptly.,Maintenance & Facilities
There seems to be an issue with the fee refund request shows an incorrect amount. I need the document for another university process. Please correct the record and confirm the updated status.,Administrative Offices
"There is a problem with the assignment grade is different from what appears on the departmental notice. The department office asked me to wait but there has been no update. I have been trying to get this sorted out, but there has not been a clear resolution yet. Kindly investigate the discrepancy and make the required correction.",Academic
I need help because the viva schedule has not been approved despite repeated follow-up. I have already checked this more than once. Could the concerned office please confirm the correct status?,Academic
Could you please look into this: the backup generator needs urgent cleaning and maintenance. Students are facing this problem every day. I request urgent maintenance of this issue.,Maintenance & Facilities
my clearance form has not been approved even after verification. I need the document for another university process. Kindly check the application and provide an update.,Administrative Offices
I am writing regarding the laundry area has not been resolved after repeated reporting. I have already checked this more than once. Please handle the matter according to hostel policy.,Hostel/Provost Office
the hostel security desk has not been repaired despite an earlier request. The problm is especially difficult during evening hours. Please ask the hostel administration to resolve it.,Hostel/Provost Office
my midterm marks was uploaded late and now I cannot complete the next process. Please update the record according to the submitted documents.,Academic
I want to bring this issue to your attention: the water cooler has broken fittings. The area is frequently used by students and staff. I have been trying to get this sorted out but there has not been a clear resolution yet. The concerned staff are requested to repair this promptly.,Maintenance & Facilities
