text,department
This is getting difficult because the LMS is not showing one of my registered courses during the last two classes. Please check the system and resolve the technical issue.,IT Services
"Could you please check this? the admission office entered the wrong academic program in my record. I am not sure who else to contact, so I am submitting this complaint. Please verify the record and update it.",Administrative Offices
"I am having a problem because required software is missing from several computers in the lab since yesterday. I have tried the normal procedure once already, but nothing changed. Please restore access as soon as possible.",IT Services
My complaint is that the room allocation list shows the wrong hostel block for me since yesterday and the situation is getting worse; Please arrange a proper solution for the affected residents.,Hostel/Provost Office
I have been facing a problem where a drainage channel near the department building is overflowing since yesterday. This is affecting a routine university task that I need to complete. Kindly arrange a repair as soon as possible.,Maintenance & Facilities
I want to report that the LMS is not showing one of my registered courses and restarting the device did not help. I would appreciate a proper technical fix for this issue.,IT Services
There is an issue with my university record: the university WiFi keeps disconnecting in the library can u check this please?,IT Services
I noticed that my attendance percentage is lower than the classes I actually attended since the start of this semester this is causing alot of trouble.,Academic
This is getting difficult because my registered course disappeared after the add/drop period which is creating a problem with course registration. Kindly check this issue and update the academic record.,Academic
There is an issue with my university record: my CGPA did not update after a repeated course grade was posted i already reported it but no response yet.,Academic
There is an issue with my university record: I was charged a late fee even though I paid before the deadline since the start of this semester i already reported it but no response yet.,Administrative Offices
My complaint is that the parking area is badly congested because the markings are not visible since yesterday and it is especially difficult during afternoon classes. Please send the maintenance team to inspect and repair it.,Maintenance & Facilities
Please look into this issue: the accounts office asked for the same payment proof multiple times since yesterday. I checked the relevant notice and the information still does not match. Please resolve the discrepancy in the official record.,Administrative Offices
"I have already tried to get this sorted, but my submitted assignment is still showing as not submitted after the latest update. The issue is not urgent in an emergency sense, but it needs proper attention. Can someone please confirm the correct status and fix the error?",Academic
I am having a problem because the registrar office has not issued a requested official document since yesterday and the deadline is approaching. Please resolve the discrepancy in the official record.,Administrative Offices
I need help because the toilet flush in the student washroom is broken since yesterday pls fix this soon.,Maintenance & Facilities
I want to report that the university portal is not loading after I sign in since yesterday but the issue still continues. Kindly have IT support investigate this.,IT Services
I want to report that my attendance percentage is lower than the classes I actually attended. I checked the relevant notice and the information still does not match. Please review the matter before the next academic deadline.,Academic
"My complaint is that a required course is not appearing in course registration after the latest update. I am not sure who else to contact, so I am submitting this complaint. Can someone please confirm the correct status and fix the error?",Academic
Could you please check this? the university WiFi keeps disconnecting in the library for three days now. I checked the relevant notice and the information still does not match. Please check the system and resolve the technical issue.,IT Services
"Could you please check this? my admission application shows incomplete documents although everything was submitted during the last two classes. I am not sure who else to contact, so I am submitting this complaint. Please resolve the discrepancy in the official record.",Administrative Offices
There is an issue with my university record: the transcript shows the wrong credit hours for one subject since the start of this semester and this is affecting my semester planning. Kindly check this issue and update the academic record.,Academic
I have been facing a problem where my financial aid application has not moved beyond initial review so I need clarification and correction; Kindly ask the relevant office to resolve this issue.,Administrative Offices
"i have already tried to get this sorted, but a prerequisite is being shown as incomplete although I passed it but the issue is still unresolved; Please review the matter before the next academic deadline.",Academic
"Hi, two of my final exams are scheduled at the same time during the last two classes which is creating a problem with course registration; Please look into this because I have not been able to resolve it myself.",Academic
I need help because the hostel entrance security check is not being done consistently since yesterday can u check this please?,Hostel/Provost Office
I am having a problem because my submitted assignment is still showing as not submitted. Kindly check this issue and update the academic record.,Academic
I am having a problem because the university WiFi keeps disconnecting in the library which is causing delays in my coursework; Can the IT team check the account or service configuration?,IT Services
Please look into this issue: my official document request was closed without issuing the document since yesterday so I need clarification and correction; I request that this matter be processed without further delay.,Administrative Offices
I noticed that my thesis supervisor has not been assigned even though the deadline passed even after I reported it earlier. Please review the matter before the next academic deadline.,Academic
I noticed that the hostel gate was locked earlier than the official curfew time even after I reported it earlier. Please ask the hostel administration to resolve this.,Hostel/Provost Office
I need help because the hostel water dispenser is frequently empty. I checked the relevant notice and the information still does not match. I request the provost office to investigate and take action.,Hostel/Provost Office
I need help because my roommate was changed without any prior notice since yesterday and several residents are affected. Kindly have the warden or provost office look into the issue.,Hostel/Provost Office
This is getting difficult because the classroom projector loses connection every few minutes after the latest update. I checked the relevant notice and the information still does not match. Can the IT team check the account or service configuration?,IT Services
This is getting difficult because my makeup exam application was approved but no exam schedule has been shared after the latest update and this is affecting my semester planning; Please verify the record and correct it.,Academic
"I have already tried to get this sorted, but my quiz marks were not included in the final course total after the latest update can u check this please?",Academic
"I am having a problem because my student card renewal request is still pending even after I reported it earlier. I am not sure who else to contact, so I am submitting this complaint. Can the administrative office review this and provide the correct status?",Administrative Offices
Please look into this issue: the online service becomes unavailable during registration hours for three days now this is causing alot of trouble.,IT Services
"I noticed that a prerequisite is being shown as incomplete although I passed it since last week. I have tried the normal procedure once already, but nothing changed. I would appreciate it if the department could resolve this soon.",Academic
"For the past few days, the admission office has not updated my verification status this is causing alot of trouble.",Administrative Offices
"I have already tried to get this sorted, but I have not received feedback from my thesis supervisor for several weeks since the start of this semester i already reported it but no response yet.",Academic
I noticed that the hostel entrance security check is not being done consistently during the last two classes. Can this be addressed by the hostel management soon?,Hostel/Provost Office
"I am having a problem because a submitted document is still marked as missing in the administrative record during the last two classes. I am not sure who else to contact, so I am submitting this complaint. I request that this matter be processed without further delay.",Administrative Offices
I am having a problem because the transcript shows the wrong credit hours for one subject after the latest update i already reported it but no response yet.,Academic
I want to report that the curfew entry record shows me late even though I entered before closing time kindly sort this out.,Hostel/Provost Office
There is an issue with my university record: garbage is not being removed regularly from the hostel floor since the start of this semester so I need the provost office to check the matter. Kindly have the warden or provost office look into the issue.,Hostel/Provost Office
"I have already tried to get this sorted, but the university portal is not loading after I sign in since last week and I cannot complete my online work; I would appreciate a proper technical fix for this issue.",IT Services
There is an issue with my university record: the financial aid amount shown is different from the approved amount after the latest update and I have visited the office more than once. Please verify the record and update it.,Administrative Offices
"Hi, a submitted document is still marked as missing in the administrative record and this is blocking another university process. I request that this matter be processed without further delay.",Administrative Offices
There is an issue with my university record: my admission application shows incomplete documents although everything was submitted and I have already submitted the required proof. Please check the payment or document status and correct it.,Administrative Offices
"For the past few days, the laundry machines have been out of order for several days since yesterday. Please check the hostel record and fix the problem.",Hostel/Provost Office
I want to report that the air conditioner is leaking water onto the floor during the last two classes. I checked the relevant notice and the information still does not match. Kindly arrange a repair as soon as possible.,Maintenance & Facilities
i noticed that garbage is not being removed regularly from the hostel floor can u check this please?,Hostel/Provost Office
I noticed that the biometric attendance device is not recognizing fingerprints since last week and the problem happens repeatedly. Please troubleshoot this because the usual fixes have not worked.,IT Services
I have been facing a problem where required software is missing from several computers in the lab this is causing alot of trouble.,IT Services
I am having a problem because my university account password reset link is not working so this needs technical support. I would appreciate a proper technical fix for this issue.,IT Services
"For the past few days, a refund approved earlier has still not been transferred during the last two classes kindly sort this out.",Administrative Offices
There is an issue with my university record: the registrar office has not issued a requested official document after the latest update this is causing alot of trouble.,Administrative Offices
I need help because there has been no electricity in part of the academic block during the last two classes. Can maintenance please inspect the area and resolve it?,Maintenance & Facilities
"I have been facing a problem where the laundry machines have been out of order for several days since yesterday. I am not sure who else to contact, so I am submitting this complaint. Please ask the hostel administration to resolve this.",Hostel/Provost Office
Please look into this issue: I have not received feedback from my thesis supervisor for several weeks since yesterday. This is affecting a routine university task that I need to complete. Can someone please confirm the correct status and fix the error?,Academic
I am having a problem because my thesis supervisor has not been assigned even though the deadline passed since the start of this semester. Please verify the record and correct it.,Academic
"Hi, the university portal is not loading after I sign in and the problem happens repeatedly. Can the IT team check the account or service configuration?",IT Services
"I need help because the grading rubric was not followed for my project evaluation since last week. The issue is not urgent in an emergency sense, but it needs proper attention. Please review the matter before the next academic deadline.",Academic
"I have already tried to get this sorted, but my GPA calculation appears incorrect after the latest result i already reported it but no response yet.",Academic
"I have already tried to get this sorted, but the university WiFi keeps disconnecting in the library since last week. This is affecting a routine university task that I need to complete. Please restore access as soon as possible.",IT Services
Please look into this issue: a refund approved earlier has still not been transferred since the start of this semester. Can the administrative office review this and provide the correct status?,Administrative Offices
"I am having a problem because the study room is being locked during the hours it should be open. I have tried the normal procedure once already, but nothing changed. Please arrange a proper solution for the affected residents.",Hostel/Provost Office
Please look into this issue: my submitted assignment is still showing as not submitted since last week i already reported it but no response yet.,Academic
"I have already tried to get this sorted, but the hostel mess is serving food much later than the announced timing since yesterday pls fix this soon.",Hostel/Provost Office
There is an issue with my university record: I was assigned a hostel room that is already occupied since the start of this semester. Can this be addressed by the hostel management soon?,Hostel/Provost Office
I am having a problem because there has been no electricity in part of the academic block so the facility needs attention; Kindly arrange a repair as soon as possible.,Maintenance & Facilities
"I want to report that the hostel entrance security check is not being done consistently. I have tried the normal procedure once already, but nothing changed. Please check the hostel record and fix the problem.",Hostel/Provost Office
My complaint is that the backup generator did not start during the last power outage after the latest update and temporary fixes have not solved it. Can maintenance please inspect the area and resolve it?,Maintenance & Facilities
Please look into this issue: the classroom projector loses connection every few minutes. Can the IT team check the account or service configuration?,IT Services
Could you please check this? a drainage channel near the department building is overflowing since yesterday which could become a safety issue. This needs to be fixed before it becomes a bigger problem.,Maintenance & Facilities
I have been facing a problem where the fee challan cannot be generated for the current semester for three days now so I need clarification and correction. Kindly ask the relevant office to resolve this issue.,Administrative Offices
"I have already tried to get this sorted, but the elevator stops between floors and feels unsafe since last week and students are avoiding the room. Kindly arrange a repair as soon as possible.",Maintenance & Facilities
"Hi, a washroom tap has been leaking continuously even after I reported it earlier. I checked the relevant notice and the information still does not match. Please have the facilities staff check this issue.",Maintenance & Facilities
I have been facing a problem where the stairway lights are not working in the evening since the start of this semester can u check this please?,Maintenance & Facilities
I want to report that a refund approved earlier has still not been transferred since the start of this semester. Kindly ask the relevant office to resolve this issue.,Administrative Offices
This is getting difficult because the timetable has overlapping lectures for two compulsory courses even after I reported it earlier this is causing alot of trouble.,Academic
"For the past few days, the accounts office has not reflected my bank payment since the start of this semester. Please check the payment or document status and correct it.",Administrative Offices
"My submitted assignment is still showing as not submitted for three days now. I am not sure who else to contact, so I am submitting this complaint. Please verify the record and correct it.",Academic
"Hi, the accounts office says my refund is processed but I have not received it. Please verify the record and update it.",Administrative Offices
My complaint is that the scholarship status has remained pending for a long time since last week. Please resolve the discrepancy in the official record.,Administrative Offices
I need help because the main building entrance becomes flooded after rain during the last two classes which is making the area difficult to use. Please have the facilities staff check this issue.,Maintenance & Facilities
"I want to report that my GPA calculation appears incorrect after the latest result during the last two classes. I am not sure who else to contact, so I am submitting this complaint. Please review the matter before the next academic deadline.",Academic
I want to report that the desks in the room are damaged and unstable during the last two classes. This needs to be fixed before it becomes a bigger problem.,Maintenance & Facilities
I have been facing a problem where my semester fee payment is complete but the account still shows an unpaid balance since yesterday. Please check the payment or document status and correct it.,Administrative Offices
I have been facing a problem where several ceiling fans in the lecture room are not working since the start of this semester kindly sort this out.,Maintenance & Facilities
"For the past few days, the biometric attendance device is not recognizing fingerprints since yesterday so this needs technical support; Please troubleshoot this because the usual fixes have not worked.",IT Services
A refund approved earlier has still not been transferred. Please check the payment or document status and correct it.,Administrative Offices
I am having a problem because my thesis supervisor has not been assigned even though the deadline passed even after I reported it earlier this is causing alot of trouble.,Academic
"I have already tried to get this sorted, but the hostel entrance security check is not being done consistently since yesterday but there has been no proper response; Please check the hostel record and fix the problem.",Hostel/Provost Office
I have been facing a problem where outgoing messages from my university email are being rejected for three days now can u check this please?,IT Services
A classroom door lock is jammed and the room cannot be secured for three days now and it is disturbing classes; Please send the maintenance team to inspect and repair it.,Maintenance & Facilities
I am having a problem because internet speed in the lab is too slow to access course material since yesterday. I would appreciate a proper technical fix for this issue.,IT Services
Please look into this issue: a repeated complaint about hostel room cleanliness has not been addressed after the latest update and several residents are affected. Please arrange a proper solution for the affected residents.,Hostel/Provost Office
Could you please check this? my submitted assignment is still showing as not submitted for three days now and I do not know which information to follow. Please verify the record and correct it.,Academic
I want to report that the printer in the student lab is showing an error for every print job can u check this please?,IT Services
I noticed that a drainage channel near the department building is overflowing. This is affecting a routine university task that I need to complete. Can maintenance please inspect the area and resolve it?,Maintenance & Facilities
My complaint is that I am locked out of my university account even after resetting the password during the last two classes and other students in the same area are facing it too; Can the IT team check the account or service configuration?,IT Services
"I want to report that the study room is being locked during the hours it should be open. The issue is not urgent in an emergency sense, but it needs proper attention. Please arrange a proper solution for the affected residents.",Hostel/Provost Office
There is an issue with my university record: required software is missing from several computers in the lab after the latest update and restarting the device did not help. Kindly have IT support investigate this.,IT Services
